ID;Plot;Plant_sp;Plant_sp_complete;Plant_id;Height_cm
1;A;UPAR;Ulex_parviflorus;1;71
2;A;UPAR;Ulex_parviflorus;2;98
3;A;UPAR;Ulex_parviflorus;3;59
4;A;UPAR;Ulex_parviflorus;4;55
5;A;UPAR;Ulex_parviflorus;5;73
6;A;UPAR;Ulex_parviflorus;6;112
7;A;UPAR;Ulex_parviflorus;7;78
8;A;UPAR;Ulex_parviflorus;8;93
9;A;UPAR;Ulex_parviflorus;9;58
10;A;UPAR;Ulex_parviflorus;10;79
11;A;UPAR;Ulex_parviflorus;11;57
12;A;UPAR;Ulex_parviflorus;12;79
13;A;UPAR;Ulex_parviflorus;13;67
14;A;UPAR;Ulex_parviflorus;14;51
15;A;UPAR;Ulex_parviflorus;15;95
16;A;HCOM;Halimium_commutatum;106;78
17;A;HCOM;Halimium_commutatum;107;60
18;A;HCOM;Halimium_commutatum;108;43
19;A;HCOM;Halimium_commutatum;109;63
20;A;HCOM;Halimium_commutatum;110;34
21;A;HCOM;Halimium_commutatum;111;38
22;A;HCOM;Halimium_commutatum;112;62
23;A;HCOM;Halimium_commutatum;113;66
24;A;HCOM;Halimium_commutatum;114;52
25;A;HCOM;Halimium_commutatum;115;60
26;A;HCOM;Halimium_commutatum;116;56
27;A;HCOM;Halimium_commutatum;117;73
28;A;HCOM;Halimium_commutatum;118;65
29;A;HCOM;Halimium_commutatum;119;35
30;A;HCOM;Halimium_commutatum;120;75
31;A;ROFF;Rosmarinus_officinalis;236;77
32;A;ROFF;Rosmarinus_officinalis;237;98
33;A;ROFF;Rosmarinus_officinalis;238;77
34;A;ROFF;Rosmarinus_officinalis;239;103
35;A;ROFF;Rosmarinus_officinalis;240;116
36;A;SGEN;Stauracanthus_genistoides;241;82
37;A;SGEN;Stauracanthus_genistoides;242;95
38;A;SGEN;Stauracanthus_genistoides;243;72
39;A;SGEN;Stauracanthus_genistoides;244;67
40;A;SGEN;Stauracanthus_genistoides;245;74
41;A;SGEN;Stauracanthus_genistoides;246;84
42;A;SGEN;Stauracanthus_genistoides;247;107
43;A;SGEN;Stauracanthus_genistoides;248;63
44;A;SGEN;Stauracanthus_genistoides;249;90
45;A;SGEN;Stauracanthus_genistoides;250;86
46;A;SGEN;Stauracanthus_genistoides;Y;102
47;A;LPED;Lavandula_pedunculata;261;73
48;A;LPED;Lavandula_pedunculata;262;64
49;A;LPED;Lavandula_pedunculata;263;66
50;A;LPED;Lavandula_pedunculata;264;70
51;A;LPED;Lavandula_pedunculata;265;53
52;A;LPED;Lavandula_pedunculata;266;72
53;A;LPED;Lavandula_pedunculata;267;85
54;A;LPED;Lavandula_pedunculata;268;74
