"Plant_id","Plant_sp","Cover_con","Cover_het"
"1","UPAR",0.03125,0.5
"10","UPAR",0,0.46875
"100","ROFF",0,0.375
"101","ROFF",0,0.3125
"102","ROFF",0.21875,0.5625
"103","ROFF",0.03125,0.71875
"104","ROFF",0.09375,0.125
"105","ROFF",0.1875,0.46875
"106","HCOM",0.28125,0.5
"107","HCOM",0.15625,0.09375
"108","HCOM",0.1875,0.625
"109","HCOM",0.125,0.375
"11","UPAR",0.03125,0.5
"110","HCOM",0.21875,0.34375
"111","HCOM",0.03125,1.0625
"112","HCOM",0,0.25
"113","HCOM",0.03125,0.375
"114","HCOM",0.09375,0.8125
"115","HCOM",0.1875,0.5625
"116","HCOM",0.4375,0.28125
"117","HCOM",0.125,0.46875
"118","HCOM",0.25,0.4375
"119","HCOM",0.03125,0.4375
"12","UPAR",0.09375,1.09375
"120","HCOM",0.03125,0.125
"121","HCOM",0.25,0.15625
"122","HCOM",0.375,0.84375
"123","HCOM",0.09375,0.65625
"124","HCOM",0.1875,0.4375
"125","HCOM",0.15625,0.59375
"126","HCOM",0.28125,0.3125
"127","HCOM",0.1875,0.8125
"128","HCOM",0.09375,0.5
"129","HCOM",0.125,0.4375
"13","UPAR",0.03125,0.6875
"130","HCOM",0.375,0.125
"131","HCOM",0.375,0.6875
"132","HCOM",0.15625,0.4375
"133","HCOM",0.15625,0.4375
"134","HCOM",0.09375,0.4375
"135","HCOM",0.1875,0.28125
"136","HCOM",0.25,0.46875
"137","HCOM",0.0625,0.59375
"138","HCOM",0.09375,0.5
"139","HCOM",0.21875,0.46875
"14","UPAR",0.09375,0.65625
"140","HCOM",0.125,0.46875
"141","HCOM",0.09375,0.34375
"142","HCOM",0.3125,0.46875
"143","HCOM",0.0625,0.46875
"144","HCOM",0.09375,0.59375
"145","HCOM",0.125,0.5625
"146","HCOM",0.1875,0.5625
"147","HCOM",0.125,0.53125
"148","HCOM",0.125,0.5625
"149","HCOM",0.125,0.4375
"15","UPAR",0.03125,0.28125
"150","HCOM",0.125,0.71875
"151","HCOM",0.03125,0.1875
"152","HCOM",0.15625,0.90625
"153","HCOM",0,0.0625
"154","HCOM",0.03125,0.1875
"155","HCOM",0.15625,0.3125
"156","HCOM",0,0.40625
"157","HCOM",0.03125,0.34375
"158","HCOM",0,0.6875
"159","HCOM",0.09375,0.4375
"16","ROFF",0,0.09375
"160","HCOM",0.125,0.75
"161","HCOM",0.09375,0.375
"162","HCOM",0.09375,0.78125
"163","HCOM",0.1875,0.5625
"164","HCOM",0.03125,0.3125
"165","HCOM",0.03125,0.1875
"166","SGEN",0,0.09375
"167","SGEN",0,0.5625
"168","SGEN",0,0.34375
"169","SGEN",0.1875,0.0625
"17","ROFF",0.09375,0.46875
"170","SGEN",0,0.34375
"171","SGEN",0.125,0.59375
"172","SGEN",0.03125,0.125
"173","SGEN",0,0.65625
"174","SGEN",0.03125,0.4375
"175","SGEN",0.03125,0.1875
"176","SGEN",0,0.34375
"177","SGEN",0.09375,0.5
"178","SGEN",0.03125,0.625
"179","SGEN",0,0.46875
"18","ROFF",0.0625,0.5625
"180","SGEN",0,0.59375
"181","HCOM",0.09375,0.28125
"182","HCOM",0.125,0.34375
"183","HCOM",0.09375,0.28125
"184","HCOM",0.375,0.40625
"185","HCOM",0.15625,0.34375
"186","HCOM",0.15625,0.53125
"187","HCOM",0.09375,0.5
"188","HCOM",0.0625,0.6875
"189","HCOM",0.0625,0.71875
"19","ROFF",0.03125,0.625
"190","HCOM",0.21875,0.40625
"191","HCOM",0.15625,0.15625
"192","HCOM",0.3125,0.34375
"193","HCOM",0.0625,0.53125
"194","HCOM",0.28125,0.3125
"195","HCOM",0.65625,0.1875
"196","HCOM",0.0625,0.28125
"197","HCOM",0.0625,0.5625
"198","HCOM",0.09375,0
"199","HCOM",0.125,0.375
"2","UPAR",0.09375,0.53125
"20","ROFF",0,0.46875
"200","HCOM",0.1875,0.25
"201","HCOM",0,0.09375
"202","HCOM",0.125,0.3125
"203","HCOM",0.125,0.625
"204","HCOM",0.1875,0.34375
"205","HCOM",0,0.53125
"206","HCOM",0.09375,0.8125
"207","HCOM",0.15625,0.40625
"208","HCOM",0,0.5
"209","HCOM",0.09375,0.46875
"21","ROFF",0.3125,0.46875
"210","HCOM",0.03125,0.15625
"211","SGEN",0.03125,0.40625
"212","UPAR",0,0.75
"213","SGEN",0,0.40625
"214","UPAR",0.03125,0.5625
"215","SGEN",0.03125,0.34375
"216","SGEN",0,0.6875
"217","SGEN",0.15625,0.375
"218","UPAR",0,0.59375
"219","SGEN",0.125,0.5
"22","ROFF",0.25,0.46875
"220","SGEN",0.15625,0.0625
"221","UPAR",0.03125,0.21875
"222","UPAR",0.09375,0.625
"223","UPAR",0.125,0.28125
"224","UPAR",0,0.5
"225","SGEN",0.03125,0
"226","SGEN",0.0625,0.4375
"227","SGEN",0,0.6875
"228","SGEN",0.0625,0.9375
"229","SGEN",0.125,0.59375
"23","ROFF",0.28125,0.53125
"230","SGEN",0.03125,0.53125
"231","SGEN",0.125,0.6875
"232","SGEN",0,0.65625
"233","SGEN",0.1875,0.84375
"234","SGEN",0.1875,0.625
"235","SGEN",0,1.125
"236","ROFF",0,0.78125
"237","ROFF",0,0.625
"238","ROFF",0,0.15625
"239","ROFF",0,0.3125
"24","ROFF",0,0.28125
"240","ROFF",0.1875,0.5
"241","SGEN",0,0.46875
"242","SGEN",0.15625,0.8125
"243","SGEN",0.03125,0.46875
"244","SGEN",0,0.65625
"245","SGEN",0.125,0.53125
"246","SGEN",0.03125,0.4375
"247","SGEN",0.03125,0.375
"248","SGEN",0.09375,0.46875
"249","SGEN",0.125,0.375
"25","ROFF",0.3125,0.40625
"250","SGEN",0,0.5
"251","SGEN",0,0.78125
"252","SGEN",0,0.53125
"253","SGEN",0,0.75
"254","SGEN",0,0.875
"255","SGEN",0.0625,0.75
"256","SGEN",0.1875,0.78125
"257","SGEN",0.03125,0.71875
"258","SGEN",0.3125,0.5625
"259","SGEN",0.03125,0.46875
"26","ROFF",0.03125,0.34375
"260","SGEN",0,0.65625
"261","LPED",0.03125,0.3125
"262","LPED",0.03125,0.40625
"263","LPED",0.09375,0.90625
"264","LPED",0,0.59375
"265","LPED",0.03125,0.59375
"266","LPED",0.0625,0.46875
"267","LPED",0.0625,0.5
"268","LPED",0.21875,0.65625
"269","LPED",0.03125,0.6875
"27","ROFF",0.09375,0.46875
"270","LPED",0.21875,0.375
"271","LPED",0.21875,0.125
"272","LPED",0.28125,0.40625
"273","LPED",0.1875,0.34375
"274","LPED",0.1875,0.46875
"275","LPED",0.21875,0.5625
"276","LPED",0.0625,0.625
"277","LPED",0.03125,0.71875
"278","LPED",0.03125,0.53125
"279","LPED",0.21875,0.5625
"28","ROFF",0.28125,0.3125
"280","LPED",0.09375,0.78125
"281","LPED",0.09375,0.625
"282","LPED",0.1875,0.25
"283","LPED",0.125,0.5625
"284","LPED",0.25,0.5
"285","LPED",0.21875,0.5625
"286","LPED",0.03125,0.15625
"287","LPED",0.125,0.53125
"288","LPED",0.125,0.34375
"289","LPED",0.21875,0.6875
"29","ROFF",0.28125,0.625
"290","LPED",0.25,0.5
"291","LPED",0.09375,0.625
"292","LPED",0.125,0.75
"293","LPED",0.03125,0.78125
"294","LPED",0.03125,0.75
"295","LPED",0.09375,0.75
"296","LPED",0.125,0.65625
"297","LPED",0.125,0.5625
"298","LPED",0.09375,0.59375
"299","LPED",0.03125,0.625
"3","UPAR",0,0.53125
"30","ROFF",0.03125,0.625
"300","LPED",0.25,0.46875
"301","LPED",0.15625,0.6875
"302","LPED",0.03125,0.53125
"303","LPED",0.03125,0.96875
"304","LPED",0.0625,0.4375
"305","LPED",0.03125,0.625
"306","LPED",0.03125,0.28125
"307","LPED",0.125,0.28125
"308","LPED",0.15625,0.4375
"309","LPED",0.09375,0.5
"31","ROFF",0.40625,0.28125
"310","LPED",0.03125,0.28125
"311","LPED",0.25,0.4375
"312","LPED",0.21875,0.1875
"313","LPED",0.09375,0.1875
"314","LPED",0.28125,0.15625
"315","LPED",0.125,0.21875
"316","LPED",0.0625,0.53125
"317","LPED",0.0625,0.15625
"318","LPED",0.0625,0.34375
"319","LPED",0.03125,0.375
"32","ROFF",0.21875,0.4375
"320","LPED",0.0625,0.46875
"321","LPED",0.09375,0.5625
"322","LPED",0.0625,0.8125
"323","LPED",0.125,0.75
"324","LPED",0.0625,0.625
"325","LPED",0.28125,0.21875
"326","LPED",0,0.6875
"327","LPED",0.0625,0.375
"328","LPED",0.125,0.375
"329","LPED",0.15625,0.46875
"33","ROFF",0.3125,0.3125
"330","LPED",0.03125,0.53125
"331","LPED",0.28125,0.40625
"332","LPED",0.25,0.375
"333","LPED",0.28125,0.40625
"334","LPED",0.25,0.28125
"335","LPED",0.1875,0.5625
"336","LPED",0.03125,0.5625
"337","LPED",0.03125,0.78125
"338","LPED",0,0.5
"339","LPED",0.0625,0.21875
"34","ROFF",0.125,0.53125
"340","LPED",0.09375,0.84375
"341","LPED",0,0.53125
"342","LPED",0.03125,0.53125
"343","LPED",0.0625,0.46875
"344","LPED",0.09375,0.46875
"345","LPED",0.21875,0.3125
"346","LPED",0.03125,0.4375
"347","LPED",0.03125,0.5625
"348","LPED",0.09375,0.53125
"349","LPED",0,0.25
"35","ROFF",0.25,0.25
"350","LPED",0,0.71875
"351","SGEN",0,0.59375
"352","SGEN",0,1.03125
"353","SGEN",0,0.6875
"354","SGEN",0,0.5625
"355","SGEN",0,0.40625
"356","SGEN",0.0625,0.5625
"357","SGEN",0.0625,0.71875
"358","SGEN",0.03125,0.46875
"359","SGEN",0.125,0.625
"36","ROFF",0.0625,0.40625
"360","SGEN",0,0.71875
"361","CSAL",0.09375,0.625
"362","CSAL",0.09375,0.75
"363","CSAL",0.03125,0.5625
"364","CSAL",0.03125,0.53125
"365","CSAL",0.03125,0.5625
